elem_idx,offset,radius,hitted,tof_total
43,-0.001,0.01,False,0
44,-0.001,0.01,False,0
45,-0.001,0.01,False,0
46,-0.001,0.01,False,0
47,-0.001,0.01,False,0
48,-0.001,0.01,False,0
49,-0.001,0.01,False,0
50,-0.001,0.01,False,0
51,-0.001,0.01,False,0
52,-0.001,0.01,False,0
53,-0.001,0.01,False,0
54,-0.001,0.01,False,0
55,-0.001,0.01,False,0
56,-0.001,0.01,False,0
57,-0.001,0.01,False,0
58,-0.001,0.01,False,0
59,-0.001,0.01,False,0
60,-0.001,0.01,False,0
61,-0.001,0.01,False,0
62,-0.001,0.01,False,0
63,-0.001,0.01,False,0
64,-0.001,0.01,False,0
0,0.0,0.01,False,0
1,0.0,0.01,False,0
2,0.0,0.01,False,0
3,0.0,0.01,False,0
4,0.0,0.01,False,0
5,0.0,0.01,False,0
6,0.0,0.01,False,0
7,0.0,0.01,False,0
8,0.0,0.01,False,0
9,0.0,0.01,False,0
10,0.0,0.01,False,0
11,0.0,0.01,False,0
12,0.0,0.01,False,0
13,0.0,0.01,False,0
14,0.0,0.01,False,0
15,0.0,0.01,False,0
16,0.0,0.01,False,0
17,0.0,0.01,False,0
18,0.0,0.01,False,0
19,0.0,0.01,False,0
20,0.0,0.01,False,0
21,0.0,0.01,False,0
22,0.0,0.01,False,0
23,0.0,0.01,False,0
24,0.0,0.01,False,0
25,0.0,0.01,False,0
26,0.0,0.01,False,0
27,0.0,0.01,False,0
28,0.0,0.01,False,0
29,0.0,0.01,False,0
30,0.0,0.01,False,0
31,0.0,0.01,False,0
32,0.0,0.01,True,0.0001437663719250845
33,0.0,0.01,False,0
34,0.0,0.01,False,0
35,0.0,0.01,False,0
36,0.0,0.01,False,0
37,0.0,0.01,False,0
38,0.0,0.01,False,0
39,0.0,0.01,False,0
40,0.0,0.01,False,0
41,0.0,0.01,False,0
42,0.0,0.01,False,0
43,0.0,0.01,False,0
44,0.0,0.01,False,0
45,0.0,0.01,False,0
46,0.0,0.01,False,0
47,0.0,0.01,False,0
48,0.0,0.01,False,0
49,0.0,0.01,False,0
50,0.0,0.01,False,0
51,0.0,0.01,False,0
52,0.0,0.01,False,0
53,0.0,0.01,False,0
54,0.0,0.01,False,0
55,0.0,0.01,False,0
56,0.0,0.01,False,0
57,0.0,0.01,False,0
58,0.0,0.01,False,0
59,0.0,0.01,False,0
60,0.0,0.01,False,0
61,0.0,0.01,False,0
62,0.0,0.01,False,0
63,0.0,0.01,False,0
64,0.0,0.01,False,0
0,0.001,0.01,False,0
1,0.001,0.01,False,0
2,0.001,0.01,False,0
3,0.001,0.01,False,0
4,0.001,0.01,False,0
5,0.001,0.01,False,0
6,0.001,0.01,False,0
7,0.001,0.01,False,0
8,0.001,0.01,False,0
9,0.001,0.01,False,0
10,0.001,0.01,False,0
11,0.001,0.01,False,0
12,0.001,0.01,False,0
13,0.001,0.01,False,0
14,0.001,0.01,False,0
15,0.001,0.01,False,0
16,0.001,0.01,False,0
17,0.001,0.01,False,0
18,0.001,0.01,False,0
19,0.001,0.01,False,0
20,0.001,0.01,False,0
21,0.001,0.01,False,0
22,0.001,0.01,False,0
23,0.001,0.01,False,0
24,0.001,0.01,False,0
25,0.001,0.01,False,0
26,0.001,0.01,False,0
27,0.001,0.01,False,0
28,0.001,0.01,False,0
29,0.001,0.01,False,0
30,0.001,0.01,False,0
31,0.001,0.01,False,0
32,0.001,0.01,True,0.00014383397223382828
33,0.001,0.01,False,0
34,0.001,0.01,False,0
35,0.001,0.01,True,0.0001442608274353676
36,0.001,0.01,False,0
37,0.001,0.01,False,0
38,0.001,0.01,False,0
39,0.001,0.01,False,0
40,0.001,0.01,False,0
41,0.001,0.01,False,0
42,0.001,0.01,False,0
43,0.001,0.01,False,0
44,0.001,0.01,True,0.0001447985820393309
45,0.001,0.01,False,0
46,0.001,0.01,False,0
47,0.001,0.01,False,0
48,0.001,0.01,False,0
49,0.001,0.01,False,0
50,0.001,0.01,False,0
51,0.001,0.01,False,0
52,0.001,0.01,False,0
53,0.001,0.01,False,0
54,0.001,0.01,False,0
55,0.001,0.01,False,0
56,0.001,0.01,False,0
57,0.001,0.01,False,0
58,0.001,0.01,False,0
59,0.001,0.01,False,0
60,0.001,0.01,False,0
61,0.001,0.01,False,0
62,0.001,0.01,False,0
63,0.001,0.01,False,0
64,0.001,0.01,False,0
0,0.002,0.01,False,0
1,0.002,0.01,False,0
2,0.002,0.01,False,0
3,0.002,0.01,False,0
4,0.002,0.01,False,0
5,0.002,0.01,False,0
6,0.002,0.01,False,0
7,0.002,0.01,False,0
8,0.002,0.01,False,0
9,0.002,0.01,False,0
10,0.002,0.01,False,0
11,0.002,0.01,False,0
12,0.002,0.01,False,0
13,0.002,0.01,False,0
14,0.002,0.01,False,0
15,0.002,0.01,False,0
16,0.002,0.01,False,0
17,0.002,0.01,False,0
18,0.002,0.01,False,0
19,0.002,0.01,False,0
20,0.002,0.01,False,0
21,0.002,0.01,False,0
22,0.002,0.01,False,0
23,0.002,0.01,False,0
24,0.002,0.01,False,0
25,0.002,0.01,False,0
26,0.002,0.01,False,0
27,0.002,0.01,False,0
28,0.002,0.01,False,0
29,0.002,0.01,False,0
30,0.002,0.01,False,0
31,0.002,0.01,False,0
32,0.002,0.01,True,0.00014403884802605143
33,0.002,0.01,True,0.00014357974770917386
34,0.002,0.01,False,0
35,0.002,0.01,False,0
36,0.002,0.01,False,0
37,0.002,0.01,False,0
38,0.002,0.01,False,0
39,0.002,0.01,False,0
40,0.002,0.01,False,0
41,0.002,0.01,False,0
42,0.002,0.01,False,0
43,0.002,0.01,False,0
44,0.002,0.01,False,0
45,0.002,0.01,False,0
46,0.002,0.01,False,0
47,0.002,0.01,False,0
48,0.002,0.01,False,0
49,0.002,0.01,False,0
50,0.002,0.01,False,0
51,0.002,0.01,False,0
52,0.002,0.01,False,0
53,0.002,0.01,False,0
54,0.002,0.01,False,0
55,0.002,0.01,False,0
56,0.002,0.01,False,0
57,0.002,0.01,False,0
58,0.002,0.01,False,0
59,0.002,0.01,False,0
60,0.002,0.01,False,0
61,0.002,0.01,False,0
62,0.002,0.01,False,0
63,0.002,0.01,False,0
64,0.002,0.01,False,0
0,0.003,0.01,False,0
1,0.003,0.01,False,0
2,0.003,0.01,False,0
3,0.003,0.01,False,0
4,0.003,0.01,False,0
5,0.003,0.01,False,0
6,0.003,0.01,False,0
7,0.003,0.01,False,0
8,0.003,0.01,False,0
9,0.003,0.01,False,0
10,0.003,0.01,False,0
11,0.003,0.01,False,0
12,0.003,0.01,False,0
13,0.003,0.01,False,0
14,0.003,0.01,False,0
15,0.003,0.01,False,0
16,0.003,0.01,False,0
17,0.003,0.01,False,0
18,0.003,0.01,False,0
19,0.003,0.01,False,0
20,0.003,0.01,False,0
21,0.003,0.01,False,0
22,0.003,0.01,False,0
23,0.003,0.01,False,0
24,0.003,0.01,False,0
25,0.003,0.01,False,0
26,0.003,0.01,False,0
27,0.003,0.01,False,0
28,0.003,0.01,False,0
29,0.003,0.01,False,0
30,0.003,0.01,False,0
31,0.003,0.01,False,0
32,0.003,0.01,True,0.00014438755599228642
33,0.003,0.01,True,0.0001445695716111756
34,0.003,0.01,True,0.00014480937175222314
35,0.003,0.01,True,0.000143256369965798
36,0.003,0.01,False,0
37,0.003,0.01,False,0
38,0.003,0.01,False,0
39,0.003,0.01,False,0
40,0.003,0.01,False,0
41,0.003,0.01,False,0
42,0.003,0.01,False,0
43,0.003,0.01,False,0
44,0.003,0.01,True,0.00014594976260160102
45,0.003,0.01,False,0
46,0.003,0.01,False,0
47,0.003,0.01,False,0
48,0.003,0.01,False,0
49,0.003,0.01,False,0
50,0.003,0.01,True,0.00014641007299187665
51,0.003,0.01,False,0
